제주 대분류,제주 중분류,업종명,성별,연령대별, 카드이용금액 , 카드이용건수 
서귀포시,남원읍,스포츠레져용품,남,20대,141500,10
제주시,용담2동,슈퍼 마켓,여,20대,2505340,178
서귀포시,남원읍,슈퍼 마켓,남,20대,1011430,72
제주시,용담2동,기타음료식품,남,30대,1514900,108
서귀포시,남원읍,슈퍼 마켓,여,20대,839720,60
제주시,애월읍,스넥,남,20대,5154700,369
서귀포시,성산읍,기타음료식품,남,30대,1672600,120
서귀포시,대륜동,슈퍼 마켓,남,20대,400900,29
제주시,애월읍,약국,남,20대,248600,18
제주시,연동,약국,여,30대,3539570,257
서귀포시,예래동,기념품 점,여,30대,963400,70
제주시,용담2동,기타음료식품,남,40대,1376900,101
제주시,연동,슈퍼 마켓,남,20대,8650570,637
서귀포시,남원읍,스넥,남,20대,2310200,171
제주시,노형동,기타음료식품,여,20대,269120,20
제주시,이도2동,스넥,여,50대,867400,65
제주시,애월읍,스넥,여,20대,12204100,917
서귀포시,성산읍,약국,남,50대,1017400,77
서귀포시,예래동,기념품 점,여,20대,224600,17
서귀포시,남원읍,스넥,여,20대,3226400,248
제주시,노형동,스넥,여,40대,3066790,236
서귀포시,예래동,슈퍼 마켓,여,50대,207650,16
서귀포시,예래동,슈퍼 마켓,여,20대,231450,18
서귀포시,성산읍,슈퍼 마켓,남,20대,4729570,368
서귀포시,성산읍,슈퍼 마켓,여,20대,5254660,410
